codigo,razon_social,country,es_banco
7412987,Instituição 07412987,BR,False
7437241,Instituição 07437241,BR,False
7441209,Instituição 07441209,BR,False
7450604,Bank Of China (brasil),BR,True
7465539,Instituição 07465539,BR,False
7469260,Instituição 07469260,BR,False
7494300,Instituição 07494300,BR,False
7502031,Instituição 07502031,BR,False
7509426,Instituição 07509426,BR,False
7512441,HS Financeira S/A Credito Financiamento e Investimentos,BR,False
7512780,Instituição 07512780,BR,False
7554076,Instituição 07554076,BR,False
7564184,Instituição 07564184,BR,False
7599206,Instituição 07599206,BR,False
7631026,Instituição 07631026,BR,False
7651495,Instituição 07651495,BR,False
7652226,Lecca Crédito Financiamento e Investimento,BR,False
7656500,Banco Kdb do Brasil,BR,True
7669921,Instituição 07669921,BR,False
7679404,Banco Topázio,BR,True
7693858,Hscm - Sociedade de Crédito Ao Microempreendedor e À Empresa de Pequeno Porte Ltda.,BR,False
7707650,Aymoré Cfi (santander),BR,False
7714057,Instituição 07714057,BR,False
7747410,Instituição 07747410,BR,False
7753938,Instituição 07753938,BR,False
7789195,Instituição 07789195,BR,False
7799277,Valor S/A Sociedade de Crédito Financiamento e Investimento,BR,False
7853842,Uniprime Ouro - Cooperativa de Crédito de Ouro,BR,False
7925729,Instituição 07925729,BR,False
7945233,Pólocred Sociedade de Crédito Ao Microempreendedor e À Empresa de Pequeno Porte Ltda.,BR,False
7946216,Instituição 07946216,BR,False
7946451,Instituição 07946451,BR,False
7958405,Instituição 07958405,BR,False
8030215,Instituição 08030215,BR,False
8030602,Instituição 08030602,BR,False
8041950,Instituição 08041950,BR,False
8044854,Instituição 08044854,BR,False
8055016,Instituição 08055016,BR,False
8071414,Instituição 08071414,BR,False
8075352,Instituição 08075352,BR,False
8143326,Instituição 08143326,BR,False
8240446,Cooperativa de Credito Rural de Ibiam - Sulcredi/ibiam,BR,False
8253539,Cooperativa de Credito Sulcredi Amplea,BR,False
8257293,Instituição 08257293,BR,False
8323197,Instituição 08323197,BR,False
8357240,Banco Csf,BR,True
8422119,Instituição 08422119,BR,False
8430732,Instituição 08430732,BR,False
8482873,Cooperativa de Crédito Rural do Agreste Alagoano - Cooperagre,BR,False
8488377,Instituição 08488377,BR,False
8520517,Instituição 08520517,BR,False
8560508,Instituição 08560508,BR,False
8561701,Pagseguro Internet Instituição de Pagamento,BR,False
8609934,Moneycorp Banco de Câmbio,BR,False
8611734,Instituição 08611734,BR,False
8624548,Instituição 08624548,BR,False
8647473,Instituição 08647473,BR,False
8652872,Instituição 08652872,BR,False
8673569,F.d'gold - Distribuidora de Títulos e Valores Mobiliários Ltda.,BR,False
8718431,Instituição 08718431,BR,False
8742188,Instituição 08742188,BR,False
8795285,Instituição 08795285,BR,False
8844074,Instituição 08844074,BR,False
8850613,Instituição 08850613,BR,False
8931800,Instituição 08931800,BR,False
9004796,Instituição 09004796,BR,False
9033698,Instituição 09033698,BR,False
9089356,Efí S.A. - Instituição de Pagamento,BR,False
9092759,Instituição 09092759,BR,False
9105360,Icap do Brasil Corretora de Títulos e Valores Mobiliários Ltda.,BR,False
9128022,Instituição 09128022,BR,False
9210106,Socred S.A. - Sociedade de Crédito Ao Microempreendedor e À Empresa de Pequeno Porte,BR,False
9274232,State Street Brasil S.A. - Banco Comercial,BR,True
9313766,Caruana S.A. - Sociedade de Crédito Financiamento e Investimento,BR,False
9330158,Instituição 09330158,BR,False
9343038,Instituição 09343038,BR,False
9403026,Instituição 09403026,BR,False
9424988,Instituição 09424988,BR,False
9433005,Instituição 09433005,BR,False
9437293,Instituição 09437293,BR,False
9463721,Instituição 09463721,BR,False
9464032,Midway S.A. - Sociedade de Crédito Financiamento e Investimento,BR,False
9473806,Instituição 09473806,BR,False
9488496,Instituição 09488496,BR,False
9512539,Instituição 09512539,BR,False
9512542,Codepe Corretora de Valores e Câmbio,BR,False
9515813,Instituição 09515813,BR,False
