cuenta,descripcion,country,formula
141829,"Outros Resultados de TVM 
(b4)",BR,[7151300009]+ [7152000009]+  [7154000007]+ [7155000006]+ [7157500009]+ [7192013001]+  [8152000008]+ [8153000007]+ [8154000006]
141830,"Rendas de Títulos e Valores Mobiliários 
(b)",BR,"Somatório de Receita de Juros, Ajuste de Variação Cambial, Ajuste a Valor Justo, Ajuste de Hedge de Valor Justo e Outros Resultados de Títulos e Valores Mobiliários"
141831,"Receita de Juros com Operações de Crédito 
(c1)",BR,[7110000003]
141832,"Ajuste de Variação Cambial de Operações de Crédito 
(c2)",BR,[7199116004]+ [8199116003]
141833,"Ajuste a Valor Justo e Ajuste de Hedge de Valor Justo de Operações de Crédito 
(c3)",BR,[7199316000]+ [7199416003]+ [8199316009]+ [8199416002]
141834,"Outros Resultados de Operações de Crédito 
(c4)",BR,[7191510000]+ [7192016008]+ [8191510009]+ [8195000003]+ [8195210006]
141835,"Rendas de Operações de Crédito 
(c)",BR,"Somatório de Receita de Juros, Ajuste de Variação Cambial, Ajuste a Valor Justo, Ajuste de Hedge de Valor Justo e Outros Resultados de Operações de Crédito"
141836,"Rendas de Arrendamento Financeiro 
(d)",BR,[7124010003]+ [7125010002]+ [7191520007]+ [7192017007]+ [7199117003]+ [7199417002]+ [8191520006]+ [8194000004]+ [8195220003]+ [8199117002]+ [8199417001]
141837,"Rendas de Outras Operações com Características de Concessão de Crédito 
(e)",BR,[7160000008]+ [7191530004]+ [7192018006]+ [7199118002]+ [7199318008]+ [7199418001]+ [8191530003]+ [8194500009]+ [8195230000]+ [8199118001]+ [8199318007]+ [8199418000]
141838,"Resultado com Perda Esperada de Aplicações Interfinanceiras de Liquidez 
(f1)",BR,[7199212001]+ [8199212000]
141839,"Resultado com Perda Esperada de TVM 
(f2)",BR,[7199213000]+ [8199213009]
141840,"Resultado com Perda Esperada de Operações de Crédito 
(f3)",BR,[7199216007]+ [8199216006]
141841,"Resultado com Perda Esperada de Outros Ativos Geradores de Renda 
(f6)",BR,[7199214906]+ [7199219901]+ [8199214905]+ [8199219900]
141842,"Resultado com Perda Esperada 
(f)",BR,"Somatório do Resultado com Perdas Esperadas de Aplicações Interfinanceiras de Liquidez, TVM, Operações de Crédito e Outros Ativos Geradores de Renda"
141843,"Despesa de Juros com Captações 
(g1)",BR,[8110000002]+ [8120000009]- [8115020001]- [8118500009]- [8119110003]- [8119120000]- [8119130007]
141844,"Ajuste de Variação Cambial de Captações 
(g2)",BR,[7199141000]+ [7199142009]+ [7199143905]+ [7199144007]+ [8199141009]+ [8199142008]+ [8199143904]+ [8199145005]
141845,"Ajuste de Hedge de Valor Justo de Captações 
(g3)",BR,[7199441009]+ [7199442101]+ [7199443904]+ [7199444006]+ [8199441008]+ [8199442007]+ [8199443903]+ [8199444005]
141846,"Outros Resultados de Captações 
(g4)",BR,[8118500009]+ [8191200003]+ [8198600008]
141847,"Despesas de Captações 
(g)",BR,"Somatório de Despesa de Juros, Ajuste de Variação Cambial, Ajuste a Valor Justo, Ajuste de Hedge de Valor Justo e Outros Resultados de Captações"
141848,"Despesas de Instrumentos de Dívida Elegíveis a Capital 
(h)",BR,[7199143101]+ [7199143204]+ [7199143307]+ [7199443100]+ [7199443203]+ [7199443306]+ [8119110003]+ [8119120000]+ [8119130007]+ [8199143100]+ [8199143203]+ [8199143306]+ [8199443109]+ [8199443202]+[8199443305]
141849,"Resultado com Derivativos 
(i)",BR,[7158000003]+ [8155000005]
141850,"Outros Resultados de Intermediação Financeira 
(j)",BR,[7144000000]+ [7191000008]+ [7191540001]+ [7191700009]+ [7192012002]+ [7192014000]+ [7192019005]+ [7192500002]+ [7199111009]+ [7199119001]+ [7199149002]+ [7199319007]+ [7199388007]+ [7199399003]+ [7199419000]+ [7199449001]+ [8191540000]+ [8199111008]+ [8199119000]+ [8199149001]+ [8199319006]+ [8199349007]+ [8199388006]+ [8199419009]+ [8199449000]
141851,"Resultado de Intermediação Financeira 
(k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j)",BR,"Somatório das Rendas de Aplicações Interfinanceiras de Liquidez, Rendas de Títulos e Valores Mobiliários, Rendas de Operações de Crédito, Rendas de Arrendamento Financeiro, Rendas de Outras Operações com Características de Concessão de Crédito, Resultado com Perda Esperada, Despesas de Captações, Despesas de Instrumentos de Dívida Elegíveis a Capital, Resultado com Derivativos e Outros Resultados de Intermediação Financeira"
141852,"Resultado com Serviços por Transações de Pagamento 
(l1)",BR,[7170500000]+ [8191900004]
141853,"Resultados de Perda Esperada com Transações de Pagamento 
(l2)",BR,[7199214102]+ [7199219107]+ [8199214101]+ [8199219106]
141854,"Outros Resultados com Transações de Pagamento 
(l3)",BR,[7191800002]+ [7198100004]+ [7199115005]+[8191800001]+ [8198100003]+ [8199115004]
141855,"Resultado com Transações de Pagamento 
(l)",BR,"Somatório das Rendas de Serviços por Transações de Pagamento, Resultados de Perda Esperada com Transações de Pagamento e Outros Resultados com Transações de Pagamento"
141856,"Rendas de Tarifas Bancárias 
(m)",BR,[7170100008]+ [7170200001]
141857,"Outras Rendas de Prestação de Serviços 
(n)",BR,[7170000005]- [7170100008]- [7170200001]- [7170500000]
